tdp,runTime,cores,memory,carbonEmission,coreType_GPU
6.8,151.4979883,292,30.2,228969.5536,0
9.4,151.727841,294,30.4,318670.5345,0
7.5,153.5245942,296,30.6,259286.9341,0
7.5,154.2529182,298,30.8,262276.9532,0
6.3,155.141869,300,31.0,223286.1242,0
10.0,156.6553723,302,31.2,359456.1188,0
3.8,158.0767574,304,31.4,139613.011,0
7.1,158.745459,306,31.6,262454.0329,0
23.8,159.6124204,308,31.8,886994.8997,0
15.8,161.3145267,310,32.0,599478.2515,0
11.3,163.2340425,312,32.2,437063.2831,0
7.5,164.7431024,314,32.4,295150.6171,0
4.2,166.4255402,316,32.6,168708.7032,0
15.0,166.5669192,318,32.8,602897.7463,0
17.5,166.6812105,320,33.0,708031.3388,0
23.8,168.3262736,322,33.2,977936.2521,0
16.3,168.9644581,324,33.4,676979.3536,0
15.5,169.7332972,326,33.6,650753.1469,0
22.8,170.63059,328,33.8,967434.7352,0
22.8,172.1925487,330,34.0,982243.364,0
16.3,173.3692977,332,34.2,711778.0501,0
16.3,173.663907,334,34.4,717282.397,0
10.8,174.0300983,336,34.6,479681.2002,0
10.8,175.4491025,338,34.8,486470.65,0
10.8,176.6229863,340,35.0,492622.9865,0
10.8,176.9643818,342,35.2,496478.2698,0
15.8,177.8670947,344,35.4,733481.3188,0
19.3,178.5041829,346,35.6,904001.0275,0
21.0,178.6139974,348,35.8,989763.2781,0
10.8,179.6238115,350,36.0,515726.2413,0
10.8,180.4038097,352,36.2,520925.244,0
15.8,181.8765711,354,36.4,771816.7233,0
8.1,183.704015,356,36.6,402835.452,0
15.6,185.1002113,358,36.8,784340.707,0
21.7,186.414276,360,37.0,1104161.194,0
23.8,188.1284421,362,37.2,1228749.816,0
15.8,188.2834922,364,37.4,821574.5927,0
8.1,189.6371329,366,37.6,427525.4554,0
11.9,190.8850972,368,37.8,634726.3,0
12.5,192.5207404,370,38.0,675992.6033,0
10.5,193.1913304,372,38.2,573224.3934,0
16.5,195.1149708,374,38.4,913434.0158,0
13.8,195.8048381,376,38.6,771112.3899,0
11.9,197.4874423,378,38.8,674523.31,0
15.8,197.534758,380,39.0,899827.6034,0
15.6,197.7146292,382,39.2,893953.9882,0
16.3,198.8911682,384,39.4,944445.7176,0
16.3,200.1594586,386,39.6,955418.326,0
7.5,201.6658798,388,39.8,446434.6792,0
10.8,203.3005938,390,40.0,650408.4249,0
10.8,204.6291382,392,40.2,658015.6928,0
16.3,205.6875718,394,40.4,1002152.692,0
3.8,205.9251899,396,40.6,236895.4626,0
10.8,207.177295,398,40.8,676405.8658,0
15.8,208.4690693,400,41.0,999614.3111,0
13.1,209.113368,1,41.2,4502.397215,0
8.1,209.9091961,2,41.4,5023.882463,0
13.1,210.0997662,4,41.6,10796.80595,0
10.4,210.7286619,6,41.8,12435.96429,0
6.6,212.1730013,8,42.0,10991.51066,0
7.8,213.8397827,10,42.2,15168.54782,0
4.4,215.1439415,12,42.4,11169.68145,0
10.5,215.3495116,14,42.6,26546.45448,0
14.4,217.2035119,16,42.8,40497.90959,0
14.4,217.7654897,18,43.0,45361.8376,0
11.5,218.4491298,20,43.2,40688.65671,0
10.0,219.8045471,22,43.4,39289.862,0
7.5,220.9528995,24,43.6,32818.21765,0
13.0,221.8674633,26,43.8,59498.95075,0
11.3,222.0527443,28,44.0,55930.91834,0
6.7,222.4653558,30,44.2,36616.45506,0
8.1,224.1746209,32,44.4,46785.38179,0
8.1,224.4806602,34,44.6,49614.36053,0
6.6,225.8207001,36,44.8,43462.54497,0
10.5,226.5539067,38,45.0,71292.26429,0
11.9,228.5244627,40,45.2,85243.55229,0
14.4,229.4438243,42,45.4,107966.9445,0
10.3,231.4293224,44,45.6,82359.48364,0
6.8,232.0066723,46,45.8,57923.70399,0
9.4,233.5581231,48,46.0,82789.85637,0
7.5,234.9574377,50,46.2,69748.17424,0
7.5,236.5139141,52,46.4,72908.73824,0
6.3,237.9798959,54,46.6,64404.01086,0
10.0,238.0558639,56,46.8,104041.3602,0
3.8,239.8268864,58,47.0,43184.8624,0
7.1,240.0497162,60,47.2,80593.61737,0
23.8,241.343615,62,47.4,272769.4732,0
15.8,243.0676037,64,47.6,189294.8807,0
11.3,244.7634796,66,47.8,141462.4593,0
7.5,244.9216421,68,48.0,97856.10112,0
4.2,246.9076748,70,48.2,58297.69475,0
15.0,247.5256727,72,48.4,205711.9863,0
17.5,249.3438257,74,48.6,247812.4464,0
23.8,249.5810939,76,48.8,345120.327,0
16.3,250.1337361,78,49.0,244157.7488,0
15.5,250.6910403,80,49.2,238757.9633,0
22.8,252.6300362,82,49.4,361004.7007,0
22.8,253.5732116,84,49.6,371118.5099,0
16.3,254.2911251,86,49.8,273370.8917,0
16.3,254.7791342,88,50.0,280196.3552,0
10.8,255.7036055,90,50.2,191736.2959,0
10.8,256.5320718,92,50.4,196565.9046,0
10.8,257.1580125,94,50.6,201264.1888,0
10.8,257.2891749,96,50.8,205587.6561,0
15.8,258.8218145,98,51.0,307047.4995,0
19.3,259.0404351,100,51.2,382138.6641,0
21.0,260.6609258,102,51.4,426369.0568,0
10.8,261.7491569,104,51.6,226327.3335,0
10.8,262.0178494,106,51.8,230858.0515,0
15.8,263.226716,108,52.0,343825.7652,0
8.1,264.8916914,110,52.2,182535.5046,0
15.6,266.5066541,112,52.4,356369.9484,0
21.7,267.725077,114,52.6,505248.9419,0
23.8,267.788636,116,52.8,563554.0588,0
15.8,268.3729003,118,53.0,382717.1669,0
8.1,268.88339,120,53.2,201846.4244,0
11.9,270.2225782,122,53.4,300998.2374,0
12.5,270.8389048,124,53.6,321830.2287,0
10.5,272.7081784,126,53.8,277212.4999,0
16.5,274.2890036,128,54.0,442633.7857,0
13.8,274.8401456,130,54.2,377388.2346,0
11.9,275.1392902,132,54.4,331333.8444,0
15.8,276.7101358,134,54.6,447676.7612,0
15.6,276.7412889,136,54.8,448664.3877,0
16.3,277.7861199,138,55.0,477243.929,0
16.3,278.8744121,140,55.2,486010.3729,0
7.5,280.526117,142,55.4,230506.5519,0
10.8,282.3968576,144,55.6,336834.9009,0
10.8,282.7406198,146,55.8,341883.2733,0
16.3,283.7215801,148,56.0,522524.2184,0
3.8,285.4788414,150,56.2,127684.6849,0
10.8,286.5341039,152,56.4,360571.9883,0
15.8,287.3682735,154,56.6,533812.9238,0
13.1,289.0856248,156,56.8,451773.9565,0
8.1,289.7390145,158,57.0,285312.4096,0
13.1,290.3785652,160,57.2,465343.7935,0
10.4,290.8727337,162,57.4,375624.3855,0
6.6,291.0770386,164,57.6,243190.1094,0
7.8,291.3902584,166,57.8,290312.3494,0
4.4,292.9843437,168,58.0,168710.9649,0
10.5,294.2699484,170,58.2,402394.9924,0
14.4,295.7974941,172,58.4,559382.3616,0
14.4,296.0199964,174,58.6,566272.4916,0
11.5,296.1776556,176,58.8,458630.4313,0
10.0,298.0217073,178,59.0,406464.6675,0
7.5,298.193296,180,59.2,309666.3279,0
13.0,298.5205258,182,59.4,539581.5151,0
11.3,299.742462,184,59.6,476741.2627,0
6.7,299.9041751,186,59.8,287932.1319,0
8.1,301.0135715,188,60.0,352032.0952,0
8.1,301.4983679,190,60.2,356312.8563,0
6.6,303.4497184,192,60.4,296210.6298,0
10.5,304.707008,194,60.6,474990.8849,0
11.9,305.2641959,196,60.8,544128.1199,0
14.4,306.4180118,198,61.0,666522.601,0
10.3,307.6511696,200,61.2,484988.0654,0
6.8,308.2690687,202,61.4,325827.3714,0
9.4,309.992946,204,61.6,455303.8168,0
7.5,310.7766496,206,61.8,368829.5037,0
7.5,312.399331,208,62.0,374319.6362,0
6.3,313.4724798,210,62.2,319392.4925,0
10.0,315.1086989,212,62.4,511160.8064,0
3.8,315.7650029,214,62.6,199924.0688,0
7.1,316.5035953,216,62.8,372984.5524,0
23.8,317.6703497,218,63.0,1253128.436,0
15.8,318.6735676,220,63.2,844078.4063,0
11.3,320.4146016,222,63.4,614099.397,0
7.5,321.0239833,224,63.6,413955.68,0
4.2,322.6285937,226,63.8,237588.7287,0
15.0,323.1938016,228,64.0,842425.5432,0
17.5,323.3124832,230,64.2,990801.4117,0
23.8,325.123525,232,64.4,1364651.045,0
16.3,326.9348105,234,64.6,949776.6502,0
15.5,328.4191313,236,64.8,915280.1561,0
22.8,329.2137603,238,65.0,1358153.399,0
22.8,329.6395746,240,65.2,1371305.711,0
16.3,329.8409875,242,65.4,990848.0199,0
16.3,331.2246518,244,65.6,1003195.953,0
10.8,332.4350609,246,65.8,674651.4648,0
10.8,333.3493081,248,66.0,681975.4346,0
10.8,334.8053709,250,66.2,690446.7509,0
10.8,335.8390595,252,66.4,698087.877,0
15.8,336.3121193,254,66.6,1027863.121,0
19.3,336.9656909,256,66.8,1266456.314,0
21.0,337.2047122,258,67.0,1389165.905,0
10.8,338.913499,260,67.2,726717.9458,0
10.8,340.5558822,262,67.4,735826.4374,0
15.8,341.2868026,264,67.6,1083976.693,0
8.1,342.7909056,266,67.8,565565.0122,0
15.6,343.1416838,268,68.0,1092400.039,0
21.7,344.1594016,270,68.2,1532807.774,0
23.8,344.5028659,272,68.4,1694611.67,0
15.8,344.844086,274,68.6,1136611.11,0
8.1,346.5634105,276,68.8,593133.7013,0
11.9,347.2577334,278,69.0,876254.6963,0
12.5,348.1755078,280,69.2,929134.52,0
10.5,350.1741987,282,69.4,791631.9468,0
16.5,350.2799096,284,69.6,1249220.861,0
13.8,351.7991945,286,69.8,1057833.059,0
11.9,352.9439041,288,70.0,922491.5304,0
15.8,353.8472602,290,70.2,1234149.965,0
15.6,355.0387443,292,70.4,1231123.93,0
16.3,355.5163909,294,70.6,1296572.763,0
16.3,355.5714335,296,70.8,1305566.996,0
7.5,356.6725967,298,71.0,610494.5498,0
10.8,357.2504855,300,71.2,883250.6238,0
10.8,358.8885066,302,71.4,893187.9402,0
16.3,358.96956,304,71.6,1353554.161,0
3.8,359.480246,306,71.8,323654.4825,0
10.8,361.4352547,308,72.0,917314.1592,0
15.8,362.5699959,310,72.2,1351494.65,0
13.1,363.6279537,312,72.4,1132308.916,0
8.1,365.2504503,314,72.6,710598.6201,0
13.1,365.6476631,316,72.8,1153141.092,0
10.4,366.5199764,318,73.0,924996.1134,0
6.6,366.6420069,320,73.2,593653.1149,0
7.8,366.709636,322,73.4,704693.9678,0
4.4,367.6551675,324,73.6,404330.5985,0
10.5,368.3196302,326,73.8,961902.9121,0
14.4,368.711039,328,74.0,1325791.488,0
14.4,370.6275302,330,74.2,1340782.568,0
11.5,371.8416866,332,74.4,1082332.245,0
10.0,372.3132467,334,74.6,949027.5841,0
7.5,373.0702072,336,74.8,719436.0202,0
13.0,374.6653933,338,75.0,1253954.326,0
11.3,375.6950993,340,75.2,1100457.765,0
6.7,375.9391511,342,75.4,659986.3344,0
8.1,376.3986464,344,75.6,801833.6095,0
8.1,377.09293,346,75.8,807957.5822,0
6.6,377.7902412,348,76.0,664844.0356,0
10.5,379.0080761,350,76.2,1062362.681,0
11.9,379.9815961,352,76.4,1212881.506,0
14.4,381.5843854,354,76.6,1480491.931,0
10.3,381.6064064,356,76.8,1067341.975,0
6.8,381.9591567,358,77.0,712067.9226,0
9.4,382.3439788,360,77.2,987609.273,0
7.5,383.9211016,362,77.4,797305.8642,0
7.5,384.2169002,364,77.6,802303.9035,0
6.3,384.9514065,366,77.8,680264.0271,0
10.0,386.828083,368,78.0,1085942.441,0
3.8,388.2053934,370,78.2,421675.3306,0
7.1,388.6209499,372,78.4,785468.3978,0
23.8,389.3326038,374,78.6,2631607.05,0
15.8,391.2369285,376,78.8,1767872.09,0
11.3,392.9181675,378,79.0,1279026.879,0
7.5,393.9274132,380,79.2,858537.217,0
4.2,395.573004,382,79.4,489213.0,0
15.0,396.6441362,384,79.6,1738116.815,0
17.5,398.5725418,386,79.8,2046751.868,0
23.8,400.4113117,388,80.0,2807629.505,0
16.3,402.3901514,390,80.2,1945186.572,0
15.5,403.6981317,392,80.4,1865672.67,0
22.8,405.0819449,394,80.6,2763430.614,0
22.8,406.3469584,396,80.8,2786107.829,0
16.3,406.3511732,398,81.0,2004531.69,0
16.3,407.9630878,400,81.2,2022572.438,0
10.8,409.6415433,1,81.4,12749.65636,0
10.8,410.7011278,2,81.6,16162.97749,0
10.8,412.1308027,4,81.8,22980.22253,0
10.8,412.1657998,6,82.0,29743.72884,0
15.8,414.1142769,8,82.2,49215.2087,0
19.3,415.8771839,10,82.4,70411.72231,0
21.0,416.2320007,12,82.6,89082.42526,0
10.8,416.7826326,14,82.8,57426.07516,0
10.8,418.4267519,16,83.0,64516.87431,0
15.8,419.8158899,18,83.2,100215.5428,0
8.1,420.6037821,20,83.4,61461.85091,0
15.6,422.0106301,22,83.6,119568.3743,0
21.7,422.8832259,24,83.8,176684.0187,0
23.8,422.9522806,26,84.0,208108.7757,0
15.8,423.3632728,28,84.2,151810.2979,0
8.1,424.0320651,30,84.4,88078.5314,0
11.9,424.1961491,32,84.6,132379.2188,0
12.5,425.3567805,34,84.8,146995.2804,0
10.5,425.941013,36,85.0,132069.0969,0
16.5,427.4626505,38,85.2,213125.6739,0
13.8,428.0454998,40,85.4,189142.0617,0
11.9,428.9888493,42,85.6,172634.172,0
15.8,430.7378609,44,85.8,237065.7774,0
15.6,431.8348632,46,86.0,245015.2376,0
16.3,432.1409623,48,86.2,266407.9167,0
16.3,433.7553941,50,86.4,278130.2149,0
7.5,434.8107959,52,86.6,138964.624,0
10.8,436.6574502,54,86.8,203431.2901,0
10.8,437.7736987,56,87.0,211132.9823,0
16.3,438.5918286,58,87.2,324617.9463,0
3.8,439.6487026,60,87.4,86702.82444,0
10.8,440.5639168,62,87.6,234160.9437,0
15.8,442.0042481,64,87.8,349231.3049,0
13.1,442.0091709,66,88.0,300215.5644,0
8.1,442.7370569,68,88.2,195581.2645,0
13.1,443.5567106,70,88.4,318908.3114,0
10.4,444.0328371,72,88.6,262747.2844,0
6.6,444.8593883,74,88.8,175583.7375,0
7.8,446.579503,76,89.0,211575.6588,0
4.4,448.4169529,78,89.2,127758.0656,0
10.5,449.4971839,80,89.4,297109.6234,0
14.4,450.5723096,82,89.6,414068.0107,0
14.4,452.4491831,84,89.8,425680.8554,0
11.5,452.5766014,86,90.0,350260.8275,0
10.0,452.7400264,88,90.2,313061.9476,0
7.5,454.6007886,90,90.4,243838.4685,0
13.0,455.3932563,92,90.6,423865.8562,0
11.3,456.2673375,94,90.8,378498.8688,0
6.7,458.0914434,96,91.0,234762.6092,0
8.1,458.5809608,98,91.2,287311.0236,0
8.1,458.7035656,100,91.4,293038.0576,0
6.6,459.783001,102,91.6,246147.257,0
10.5,460.3281734,104,91.8,392380.0164,0
11.9,462.1856664,106,92.0,453248.5397,0
14.4,463.3432838,108,92.2,557443.8142,0
10.3,465.0291163,110,92.4,410896.4987,0
6.8,466.7471799,112,92.6,281236.2628,0
9.4,467.6287039,114,92.8,391514.4444,0
7.5,469.5473989,116,93.0,321500.7303,0
7.5,470.5975118,118,93.2,327589.0513,0
6.3,470.8815639,120,93.4,281837.7852,0
10.0,472.5262485,122,93.6,448795.8459,0
3.8,473.6730908,124,93.8,181457.6745,0
7.1,474.5546579,126,94.0,333898.8327,0
23.8,475.52748,128,94.2,1109077.383,0
15.8,475.660955,130,94.4,752134.612,0
11.3,477.2153186,132,94.6,551484.1258,0
7.5,477.6537095,134,94.8,376099.4671,0
4.2,479.1792592,136,95.0,219997.1253,0
15.0,479.8306003,138,95.2,764646.8187,0
17.5,481.7929175,140,95.4,906371.1934,0
23.8,482.5199002,142,95.6,1247263.771,0
16.3,483.0555802,144,95.8,871215.9456,0
15.5,484.9503567,146,96.0,843755.1803,0
22.8,486.8466862,148,96.2,1256614.306,0
22.8,487.8659276,150,96.4,1276110.623,0
16.3,488.2117231,152,96.6,928810.3753,0
16.3,488.9840423,154,96.8,942372.5572,0
10.8,490.5631618,156,97.0,638975.6469,0
10.8,492.0301248,158,97.2,648958.1416,0
10.8,492.5560935,160,97.4,657732.2154,0
10.8,494.1494334,162,97.6,667966.3651,0
15.8,494.9502252,164,97.8,984354.1079,0
19.3,496.0406326,166,98.0,1216546.409,0
21.0,496.8814525,168,98.2,1340561.148,0
10.8,497.3841455,170,98.4,704977.113,0
10.8,497.5706645,172,98.6,713404.0957,0
15.8,498.6540623,174,98.8,1051493.225,0
8.1,498.6889871,176,99.0,552006.9025,0
15.6,499.4671178,178,99.2,1063697.788,0
21.7,500.6652579,180,99.4,1494179.21,0
23.8,501.1685915,182,99.6,1657149.558,0
15.8,501.2198721,184,99.8,1116984.16,0
8.1,501.5728901,186,100.0,586090.5172,0
11.9,502.0190414,188,100.2,864243.9477,0
12.5,502.463476,190,100.4,917443.1784,0
10.5,503.1974774,192,100.6,782083.4497,0
16.5,504.8438718,194,100.8,1237465.115,0
13.8,505.8494696,196,101.0,1049980.419,0
11.9,506.6956661,198,101.2,918075.0559,0
15.8,508.4821688,200,101.4,1230690.061,0
15.6,509.9820441,202,101.6,1230952.25,0
16.3,511.844881,204,101.8,1302885.738,0
16.3,511.9652757,206,102.0,1315853.403,0
7.5,513.2497492,208,102.2,620797.4814,0
10.8,513.3316385,210,102.4,896004.0895,0
10.8,513.7991536,212,102.6,905248.966,0
16.3,514.5437937,214,102.8,1373380.599,0
3.8,514.6413509,216,103.0,334663.2748,0
10.8,516.5946019,218,103.2,935598.3006,0
15.8,518.2682705,220,103.4,1378623.717,0
13.1,520.0990369,222,103.6,1160007.833,0
8.1,521.7315577,224,103.8,731751.1516,0
13.1,523.1990219,226,104.0,1187731.188,0
10.4,523.8518487,228,104.2,955550.5659,0
6.6,525.2257419,230,104.4,618912.4101,0
7.8,525.8975867,232,104.6,735802.212,0
4.4,527.6637373,234,104.8,426789.1794,0
10.5,528.8812157,236,105.0,1007595.702,0
14.4,529.4336523,238,105.2,1389038.003,0
14.4,529.5051152,240,105.4,1400797.541,0
11.5,530.5540275,242,105.6,1133349.53,0
10.0,531.1767045,244,105.8,996811.3947,0
7.5,531.6597134,246,106.0,758319.066,0
13.0,532.9067254,248,106.2,1316340.592,0
11.3,534.0385714,250,106.4,1157890.006,0
6.7,535.0029,252,106.6,699765.7467,0
8.1,535.0244833,254,106.8,849249.9353,0
8.1,536.4260042,256,107.0,858082.173,0
6.6,537.2539075,258,107.2,708656.4205,0
10.5,537.6208232,260,107.4,1127151.796,0
11.9,538.5159771,262,107.6,1287122.525,0
14.4,539.93201,264,107.8,1569980.777,0
10.3,541.4700404,266,108.0,1139329.788,0
6.8,541.9543053,268,108.2,764068.2827,0
9.4,542.0111734,270,108.4,1057743.907,0
7.5,543.4979065,272,108.6,855818.0197,0
7.5,545.0726858,274,108.8,864516.7763,0
6.3,546.6378318,276,109.0,736206.1128,0
10.0,547.4208745,278,109.2,1168692.478,0
3.8,548.5866919,280,109.4,458707.0399,0
7.1,550.4426588,282,109.6,851160.6061,0
23.8,551.6125568,284,109.8,2839062.888,0
15.8,552.8279259,286,110.0,1907914.567,0
11.3,554.5166573,288,110.2,1383103.865,0
7.5,555.2786488,290,110.4,931387.8522,0
4.2,556.3717022,292,110.6,533792.2786,0
15.0,558.1549232,294,110.8,1880461.855,0
17.5,560.0792947,296,111.0,2213388.522,0
23.8,561.4300123,298,111.2,3031401.292,0
16.3,562.2674613,300,111.4,2098684.806,0
15.5,564.0459432,302,111.6,2016129.914,0
22.8,565.5245364,304,111.8,2984606.17,0
22.8,566.4537507,306,112.0,3009092.486,0
16.3,567.8384924,308,112.2,2175650.817,0
16.3,569.2863149,310,112.4,2195276.879,0
10.8,570.2908894,312,112.6,1472559.611,0
10.8,572.0943262,314,112.8,1486601.474,0
10.8,573.2816136,316,113.0,1499091.32,0
10.8,573.3952426,318,113.2,1508794.966,0
15.8,573.7750071,320,113.4,2214050.735,0
19.3,575.7335012,322,113.6,2726511.686,0
21.0,576.3166818,324,113.8,2986402.873,0
10.8,576.3695157,326,114.0,1554442.503,0
10.8,578.1284343,328,114.2,1568670.388,0
15.8,579.7531812,330,114.4,2306613.159,0
8.1,580.5307401,332,114.6,1200366.119,0
15.6,581.8909632,334,114.8,2313598.675,0
21.7,582.5202259,336,115.0,3233550.687,0
23.8,583.2009427,338,115.2,3569833.436,0
